#{"t_start": 1684358533.0692818, "env_id": null}
r,l,t
15,15,5751.290686
13,13,5757.384359
14,14,5763.815358
16,16,5770.3747
15,15,5776.474122
13,13,5782.932316
13,13,5789.37416
13,13,5796.031174
15,15,5802.206256
12,12,5808.590411
13,13,5815.234415
14,14,5821.73913
26,26,5831.105086
11,11,5837.330642
16,16,5844.630715
17,17,5852.171541
16,16,5858.77173
14,14,5865.338271
17,17,5872.446528
19,19,5879.338312
11,11,5885.425406
14,14,5891.521033
18,18,5897.970905
16,16,5904.232873
11,11,5910.804171
14,14,5917.003642
16,16,5923.278406
17,17,5931.303951
20,20,5938.462025
20,20,5946.378385
13,13,5952.921625
18,18,5961.294513
11,11,5967.694189
16,16,5973.820005
17,17,5980.160606
20,20,5988.036372
15,15,5994.118474
13,13,6000.234836
14,14,6006.55145
16,16,6012.968155
14,14,6019.485183
15,15,6026.492715
13,13,6032.734645
13,13,6039.118229
16,16,6045.334835
17,17,6051.784494
14,14,6057.870104
16,16,6064.309125
21,21,6070.516963
13,13,6076.716779
15,15,6084.291435
22,22,6091.500469
15,15,6097.675532
13,13,6105.198076
14,14,6111.299335
17,17,6117.79976
12,12,6124.207895
14,14,6130.72481
20,20,6138.782799
15,15,6145.391043
20,20,6151.518085
15,15,6157.990628
15,15,6164.539475
17,17,6171.107327
17,17,6177.198533
12,12,6183.622869
14,14,6190.100732
13,13,6196.365012
17,17,6202.517226
15,15,6208.780979
16,16,6215.272428
17,17,6223.472304
12,12,6229.532735
15,15,6237.088404
15,15,6244.230138
13,13,6250.605552
13,13,6256.756536
15,15,6263.920747
14,14,6270.046145
18,18,6277.45868
15,15,6283.946039
12,12,6290.454537
14,14,6296.512267
12,12,6302.679295
18,18,6310.395062
14,14,6316.520544
16,16,6322.937084
14,14,6329.086023
15,15,6336.186172
15,15,6342.288713
13,13,6348.435647
18,18,6355.902648
16,16,6362.981052
12,12,6369.410389
16,16,6375.601892
17,17,6382.135495
13,13,6388.6102
11,11,6394.701773
10,10,6400.802068
13,13,6406.893059
20,20,6413.109505
19,19,6421.409883
13,13,6427.951246
14,14,6434.1177
12,12,6440.634523
16,16,6446.749923
13,13,6453.042146
15,15,6459.425565
12,12,6465.617395
14,14,6471.725219
22,22,6479.374826
14,14,6485.783091
15,15,6492.028032
14,14,6498.573828
23,23,6509.157556
13,13,6515.258825
14,14,6521.440489
16,16,6528.057058
16,16,6534.198078
27,27,6543.317789
15,15,6549.564484
15,15,6555.681481
20,20,6564.184184
11,11,6570.68977
13,13,6576.805628
13,13,6583.289343
11,11,6589.447161
18,18,6596.88833
21,21,6604.515904
13,13,6610.788954
15,15,6617.016404
14,14,6623.113028
13,13,6629.271453
12,12,6635.416679
13,13,6642.004273
18,18,6648.145862
17,17,6654.546777
15,15,6661.945666
13,13,6668.14472
15,15,6674.670979
17,17,6682.195414
15,15,6689.386755
22,22,6698.194207
19,19,6706.15295
13,13,6713.328105
14,14,6720.652439
12,12,6727.236293
13,13,6733.477475
17,17,6739.618653
13,13,6746.161106
21,21,6754.243992
15,15,6760.368544
15,15,6767.451952
18,18,6774.151944
13,13,6780.55951
13,13,6786.741347
15,15,6793.125984
13,13,6799.676113
13,13,6805.88475
14,14,6812.999978
13,13,6819.220118
18,18,6826.35899
13,13,6832.824842
13,13,6839.008357
13,13,6845.241177
14,14,6851.3415
14,14,6857.491228
14,14,6863.892133
20,20,6871.207237
11,11,6877.390337
12,12,6883.524229
18,18,6890.564999
14,14,6897.165408
17,17,6905.12282
15,15,6911.539406
14,14,6917.673787
13,13,6923.865577
12,12,6930.256329
12,12,6936.3808
18,18,6943.847459
15,15,6950.031172
16,16,6956.175004
13,13,6962.355988
13,13,6968.755055
19,19,6975.944962
21,21,6983.245957
13,13,6989.455365
11,11,6995.938774
17,17,7003.179878
15,15,7009.779718
15,15,7016.312429
22,22,7026.092169
15,15,7033.195598
17,17,7041.120748
14,14,7047.578732
12,12,7054.161515
14,14,7060.603663
17,17,7066.953311
15,15,7073.403361
14,14,7080.020132
17,17,7086.320143
12,12,7092.810839
11,11,7099.094142
13,13,7105.659549
14,14,7111.718591
13,13,7117.878915
12,12,7124.210492
11,11,7130.851971
13,13,7137.080371
16,16,7143.509692
13,13,7149.676918
14,14,7156.201465
18,18,7162.283888
15,15,7168.59579
14,14,7175.175047
15,15,7182.175549
20,20,7188.892065
13,13,7195.334342
13,13,7201.592252
18,18,7208.017175
16,16,7214.208707
16,16,7221.591264
15,15,7227.799244
14,14,7234.257841
14,14,7240.540924
11,11,7247.118193
11,11,7253.257226
11,11,7259.715477
15,15,7266.273697
14,14,7272.448663
11,11,7278.852095
13,13,7285.365652
18,18,7292.931035
21,21,7299.122664
11,11,7305.239827
12,12,7311.456195
20,20,7317.622578
15,15,7324.072708
16,16,7330.272546
11,11,7336.749863
15,15,7343.056264
17,17,7349.288126
11,11,7355.422185
11,11,7362.074238
13,13,7368.296642
16,16,7374.389595
26,26,7383.287832
14,14,7389.754208
20,20,7397.569875
21,21,7405.220816
12,12,7411.320514
11,11,7417.878026
12,12,7424.328692
14,14,7430.537181
16,16,7437.953885
16,16,7445.411861
13,13,7451.852839
13,13,7458.445112
21,21,7466.143654
15,15,7472.611247
12,12,7478.785975
14,14,7484.968264
14,14,7492.455308
14,14,7498.543717
22,22,7506.284501
13,13,7512.501487
19,19,7520.084168
16,16,7526.551364
14,14,7533.107832
11,11,7539.309252
13,13,7545.475331
16,16,7552.100946
15,15,7558.550343
12,12,7564.967056
13,13,7571.20893
15,15,7577.750217
14,14,7583.907709
16,16,7591.650059
15,15,7597.866386
22,22,7605.29079
13,13,7611.866635
12,12,7618.307585
13,13,7624.440836
17,17,7630.856788
14,14,7636.906953
11,11,7643.098529
15,15,7649.323223
15,15,7655.515223
17,17,7661.597929
11,11,7667.731151
14,14,7673.872753
14,14,7680.02309
16,16,7686.189197
15,15,7692.614978
11,11,7698.672369
17,17,7707.196776
25,25,7716.738251
15,15,7723.68043
13,13,7730.305904
13,13,7736.821507
25,25,7744.479896
14,14,7751.029847
12,12,7757.512765
20,20,7765.171486
20,20,7771.324936
20,20,7779.3706
13,13,7785.937416
12,12,7792.07816
13,13,7798.335758
18,18,7806.072759
15,15,7812.49524
16,16,7818.969832
13,13,7825.402834
14,14,7831.770147
14,14,7838.202241
19,19,7845.977298
